"","x","y"
"1",1.81819457694118,2.1280599778903
"2",2.018258799326,2.14541776181141
"3",2.29334710510511,2.15518250696443
"4",2.71848357767284,2.17428675325693
"5",2.76849963326904,2.18230503603856
"6",3.01857991125006,2.19787087127104
"7",3.31867624482728,2.22636010502028
"8",3.46872441161589,2.24550983763004
"9",3.79382877299121,2.29762867571065
"10",4.09392510656843,2.3261179094599
"11",4.31899735675134,2.35238995050697
"12",4.51906157913615,2.35993750295781
"13",4.44403749574185,2.2743333427583
"14",4.34400538454944,2.26810700866531
"15",4.06891707877033,2.25343714777715
"16",3.74381271739501,2.21112854116682
"17",3.41870835601968,2.17863016602676
"18",3.04358793904816,2.16263908678075
"19",2.86853174446145,2.1296699813099
"20",2.46840329969182,2.09004929773253
"21",2.29334710510511,2.0865108866725
"22",2.26833907730701,2.08740686101682
"23",2.19331499391271,2.05085385816869
"24",2.61845146648043,1.99147625269899
"25",2.89353977225955,2.05029215520338
"26",3.31867624482728,2.11354244311212
"27",3.6687886340007,2.14023972817272
"28",3.99389299537602,2.20707391345874
"29",4.24397327335704,2.23735509589663
"30",4.39402144014565,2.22707413409556
"31",4.24397327335704,2.1686834756047
"32",4.09392510656843,2.14953374299494
"33",3.89386088418362,2.07331457025217
"34",3.46872441161589,1.99044381940289
"35",3.06859596684626,1.9361077886201
"36",2.79350766106714,1.89691234905626
"37",2.71848357767284,1.86035934620812
"38",2.71848357767284,1.85054911473785
"39",2.89353977225955,1.83937217859246
"40",3.11861202244247,1.88526468258008
"41",3.29366821702918,1.92804401952121
"42",3.6187725784045,1.97035262613154
"43",3.84384482858741,2.04567582452999
"44",4.26898130115514,2.11383122817387
"45",4.41902946794375,2.18693723387014
"46",4.51906157913615,2.29617099840102
"47",4.66910974592476,2.36437188836216
"48",4.74413382931907,2.43035558562112
"49",4.76914185711717,2.51284657877414
"50",4.84416594051148,2.56411492882769
"51",4.86917396830958,2.60245988036447
"52",4.91919002390578,2.65952932049748
"53",4.99421410730009,2.70098743908075
"54",5.1692703018868,2.71924119734619
"55",5.36933452427161,2.72678874979703
"56",5.71944691344503,2.70443487750626
"57",5.99453521922415,2.71419962265927
"58",6.14458338601276,2.72353912379876
"59",6.31963958059947,2.76631846073988
"60",6.21960746940706,2.70123073782524
"61",6.34464760839757,2.67713040316309
"62",6.46968774738808,2.63831472129552
"63",6.59472788637859,2.58968880795767
"64",6.7197680253691,2.53125266314955
"65",6.64474394197479,2.5192252389771
"66",6.34464760839757,2.51035646816841
"67",5.94451916362795,2.47564090032617
"68",5.86949508023364,2.46361347615372
"69",5.99453521922415,2.47875406737267
"70",6.16959141381086,2.46757713122728
"71",5.76946296904124,2.35928482735798
"72",5.64442283005073,2.32942888893362
"73",5.51938269106022,2.29957295050927
"74",5.36933452427161,2.27551810216437
"75",4.94419805170388,2.22207804572591
"76",4.84416594051148,2.21094659589778
"77",4.51906157913615,2.18825845222799
"78",5.01922213509819,2.22429523842808
"79",5.44435860766591,2.26301994766113
"80",5.64442283005073,2.31961865746335
"81",5.86949508023364,2.3949418558618
"82",6.06955930261845,2.45644568139915
"83",6.34464760839757,2.49564112096299
"84",6.64474394197479,2.53394058618251
"85",6.7197680253691,2.59501916770634
"86",6.46968774738808,2.6235993740901
"87",6.24461549720517,2.71505011068633
"88",6.41967169179188,2.77744991056801
"89",6.46968774738808,2.82470911923074
"90",6.34464760839757,2.84390433815776
"91",6.21960746940706,2.87290978855506
"92",6.24461549720517,2.92597008729725
"93",6.34464760839757,2.96162711580107
"94",6.14458338601276,3.01294095217188
"95",6.06955930261845,3.04505956961567
"96",6.04455127482035,3.06557600690054
"97",5.79447099683934,3.10887156048971
"98",5.61941480225263,3.14947919104593
"99",5.44435860766591,3.18027659013187
"100",5.219286357483,3.22758128511186
"101",5.219286357483,3.26191709525782
"102",5.11925424629059,3.28512145557566
"103",5.01922213509819,3.32304116309891
"104",4.91919002390578,3.39039156503298
"105",4.76914185711717,3.44481856845029
"106",4.69411777372287,3.545608806186
"107",4.69411777372287,3.50146276456976
"108",4.76914185711717,3.58216180903414
"109",4.76914185711717,3.65083342932607
"110",4.66910974592476,3.73289917846555
"111",4.66910974592476,3.80647591449262
"112",4.74413382931907,3.88226984322185
"113",4.76914185711717,3.97457106784515
"114",4.84416594051148,4.03564964936897
"115",4.84416594051148,4.07979569098521
"116",4.84416594051148,4.14846731127714
"117",4.66910974592476,4.20379028903876
"118",4.66910974592476,4.27246190933069
"119",4.66910974592476,4.35584887682803
"120",4.69411777372287,4.44324498571619
"121",4.69411777372287,4.49229614306756
"122",4.51906157913615,4.42989634318588
"123",4.49405355133805,4.37193092870856
"124",4.41902946794375,4.30594723144959
"125",4.24397327335704,4.25335766303819
"126",4.19395721776083,4.22571891731601
"127",4.01890102317412,4.16822423316947
"128",3.81883680078931,4.1704869121889
"129",3.7188046895969,4.12992476794995
"130",3.7188046895969,4.10539918927426
"131",3.6437806062026,4.06394107069099
"132",3.49373243941399,4.04969645381636
"133",3.41870835601968,3.9837127565574
"134",3.39370032822158,3.97970361516658
"135",3.36869230042348,3.92173820068925
"136",3.39370032822158,3.88160130046383
"137",3.41870835601968,3.8659899789141
"138",3.7188046895969,3.80128201369573
"139",3.81883680078931,3.77807765337789
"140",4.09392510656843,3.73388612544439
"141",4.16894918996273,3.68705216079519
"142",4.31899735675134,3.64243538884816
"143",4.49405355133805,3.59201752682167
"144",4.49405355133805,3.59201752682167
"145",4.44403749574185,3.65757598006711
"146",4.26898130115514,3.70308872635846
"147",4.19395721776083,3.80878407982931
